,Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
0,Golden LLC,SANTIAGO BURRITO,HOT FOOD,3373,3.0,4.49,15162.73,33.18,5025.77
1,CEDAR   LLC,PIZZA SLICE,HOT FOOD,2508,2.4,3.99,10038.84,39.85,3987.72
2,BOULDER   LLC,SUGAR BEVERAGE FEE 20 OZ,SUGAR FEE  (OPERATIONAL ONLY),2339,0.4,0.4,937.2,0.0,0.0
3,HAWK   LLC,REGULAR DONUTS WHOLESALE,BAKERY,2275,2.14,2.99,6808.23,28.43,1933.75
4,Zuni   LLC,DISPOSABLE BAG FEE $.10,DISPOSAL BA,1661,0.15,0.1,177.89,-50.0,-83.05
5,BOULDER   LLC,SUGAR BEVERAGE FEE 12 OZ,SUGAR FEE  (OPERATIONAL ONLY),1529,0.24,0.24,372.35,0.0,0.0
6,CHEYENNE   LLC,KANVA FOCUS + FLOW KRATOM ENHANCED,SMOKE SHOP,1370,4.53,9.99,12605.3,54.7,7487.05
7,Zuni   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT 2 OZ,BEVERAGE : SPECIALITY,1366,4.95,9.99,13646.34,50.45,6884.64
8,Zuni   LLC,SANTIAGO BURRITO,HOT FOOD,1136,3.0,4.59,5212.65,34.64,1806.24
9,BOULDER   LLC,SUGAR BEVERAGE FEE 16 OZ,SUGAR FEE  (OPERATIONAL ONLY),1005,0.32,0.32,322.56,0.0,0.0
10,Golden LLC,RED BULL REGULAR 12 OZ,BEVERAGE : STANDARD,913,2.05,3.99,3642.87,48.62,1771.22
11,BOULDER   LLC,SUGAR BEVERAGE FEE 28 OZ,SUGAR FEE  (OPERATIONAL ONLY),871,0.56,0.56,487.76,0.0,0.0
12,CHEYENNE   LLC,FOUNTAIN REFILL,FOUNTAIN,869,0.72,1.09,947.21,33.94,321.53
13,Golden LLC,MARLBORO GOLD PACK BOX,CIGARETTES,808,9.92,11.39,9151.27,12.94,1190.99
